도착 시군구 코드,총 이동 시간,총 이동 인구,평균 이동 시간(분),이동인구(합),출도착 합계
11010,9356120,19385709.6,21.34959861626437,44.23597803912978,976468
11020,9306020,19715322.61,21.012461586746777,44.516072285783316,996671
11030,8514380,14707082.87,21.36478606056348,36.903882501430274,889965
11040,8887140,17449273.95,21.740323787996655,42.685595764042795,910724
11050,8625540,17947278.99,22.474283212956884,46.76254830691305,857223
11060,8838130,16288077.28,21.673451271009796,39.94270838135689,909185
11070,7939300,13907465.59,23.412788520234386,41.01275310305779,751735
11080,9072420,18757182.35,22.16028334147533,45.81627344894969,910409
11090,7649610,12570412.3,23.81127435721845,39.12847008653427,710127
11100,6995880,10821566.75,24.48997595068315,37.88228349488733,630389
11110,8975240,20611941.03,24.02951468371579,55.18459000987929,827201
11120,8077520,16495472.31,24.61157830591103,50.26042751371115,723565
11130,8465390,16301660.39,22.02681605528697,42.416672451746194,851166
11140,9494790,23639807.3,22.044200819101217,54.88490629556367,968814
11150,7379950,15069643.56,22.793733842746878,46.544142495776335,717489
11160,9388010,21839762.06,25.124068017962564,58.44728195768413,823150
11170,7946750,14463071.65,22.933747752583628,41.73938238256438,770175
11180,6362000,8111343.74,23.998943774873158,30.597875252268057,591437
11190,9581360,25006858.6,21.615226871267787,56.41463445447347,996152
11200,8408680,15762459.46,21.867593172911135,40.991814514975545,854764
11210,8772170,18725641.04,23.37792784749742,49.90403573246489,841193
11220,10291660,28911318.58,22.831643236024252,64.13862402193614,1011175
11230,11437560,44684651.43,23.094564552376685,90.22663635868018,1127817
11240,10610520,34837613.05,25.429707440880627,83.49358069162538,936742
11250,8430800,21101460.33,25.67008394508402,64.24968662937803,728054
